"Timestamp","Which option describes you?","Which age group describes you?","Which of these describe you?","What is your pay period?","Which of these describes your personal income last year?","Which of these describes your typical monthly expenses?","Which of these describes your typical monthly net income?","Which of these best describes your financial risk appetite","Please rank the importance of these attributes to you in a SAVING financial product [Minimum Deposit]","Please rank the importance of these attributes to you in a SAVING financial product [Additional Fees]","Please rank the importance of these attributes to you in a SAVING financial product [Time Period]","Please rank the importance of these attributes to you in a SAVING financial product [Interest Rate]","Please rank the importance of these attributes to you in a SAVING financial product [Risk]","Please rank the importance of these attributes to you in a LOAN financial product [Minimum Deposit]","Please rank the importance of these attributes to you in a LOAN financial product [Additional Fees]","Please rank the importance of these attributes to you in a LOAN financial product [Time Period]","Please rank the importance of these attributes to you in a LOAN financial product [Interest Rate]","Please rank the importance of these attributes to you in a LOAN financial product [Risk]","Please rank the importance of these attributes to you in an INVESTMENT financial product [Minimum Deposit]","Please rank the importance of these attributes to you in an INVESTMENT financial product [Additional Fees]","Please rank the importance of these attributes to you in an INVESTMENT financial product [Time Period]","Please rank the importance of these attributes to you in an INVESTMENT financial product [Interest Rate]","Please rank the importance of these attributes to you in an INVESTMENT financial product [Risk]","If you needed $300,000 to meet an important goal within the next 5 years, how likely would you be to use the financial product listed below:","If you needed $300,000 to meet an important goal within the next 5 years, how likely would you be to use the financial product listed below:","If you needed $300,000 to meet an important goal within the next 5 years, how likely would you be to use the financial product listed below:"
"2021/05/08 12:03:25 PM EST","Female","18 - 25","Full-time employed;Full-time student","Monthly","$500,000 to $1,500,000","$20,000 to $60,000","$100,000 to $140,000","4","5 (Very important)","4","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","3","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","4","5 (Very important)","5 (Very important)","5 (Very important)","5","5","5"
"2021/05/08 12:03:29 PM EST","Female","18 - 25","Full-time employed;Full-time student","Monthly","$500,000 to $1,500,000","$20,000 to $60,000","$100,000 to $140,000","4","5 (Very important)","4","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","3","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","4","5 (Very important)","5 (Very important)","5 (Very important)","5","5","5"
"2021/05/08 12:06:21 PM EST","Male","18 - 25","Full-time student","None ","$0","$0 to $20,000","$0 to $20,000","5","5 (Very important)","3","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","3","2","5"
"2021/05/08 12:09:15 PM EST","Female","18 - 25","Full-time employed","Monthly","$2,500,000 to $3,500,000","$20,000 to $60,000","$180,000 to $220,000","1","1 (Not important)","1 (Not important)","3","5 (Very important)","3","1 (Not important)","1 (Not important)","5 (Very important)","5 (Very important)","3","1 (Not important)","1 (Not important)","5 (Very important)","5 (Very important)","5 (Very important)","5","5","1"
"2021/05/08 2:30:40 PM EST","Female","18 - 25","Full-time employed","Monthly","$2,500,000 to $3,500,000","$20,000 to $60,000","$180,000 to $220,000","1","1 (Not important)","1 (Not important)","3","5 (Very important)","3","1 (Not important)","1 (Not important)","5 (Very important)","5 (Very important)","3","1 (Not important)","1 (Not important)","5 (Very important)","5 (Very important)","5 (Very important)","5","5","1"
"2021/05/08 2:30:41 PM EST","Female","18 - 25","Full-time employed","Monthly","$2,500,000 to $3,500,000","$20,000 to $60,000","$180,000 to $220,000","1","1 (Not important)","1 (Not important)","3","5 (Very important)","3","1 (Not important)","1 (Not important)","5 (Very important)","5 (Very important)","3","1 (Not important)","1 (Not important)","5 (Very important)","5 (Very important)","5 (Very important)","5","5","1"
"2021/05/11 9:53:18 AM EST","Male","18 - 25","Full-time employed","Monthly","$1,500,000 to $2,500,000","$60,000 to $100,000","$100,000 to $140,000","2","1 (Not important)","1 (Not important)","1 (Not important)","4","4","4","4","4","4","4","4","4","4","4","4","2","4","4"
"2021/05/11 9:53:57 AM EST","Female","46 - 55","Full-time employed","Monthly","$3,500,000 to $4,500,000","$140,000 to $180,000","$220,000 to $260,000","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","5","3"
"2021/05/11 9:58:33 AM EST","Female","18 - 25","Full-time employed","Monthly","$500,000 to $1,500,000","$20,000 to $60,000","$20,000 to $60,000","3","3","4","3","4","4","4","4","4","4","4","3","3","3","4","4","2","3","5"
"2021/05/11 10:03:39 AM EST","Female","36 - 45","Full-time employed","Monthly","$500,000 to $1,500,000","$60,000 to $100,000","$60,000 to $100,000","3","2","2","3","3","3","2","2","3","3","3","2","2","3","3","3","4","4","2"
